"time","num_instructions","location","block","condition","success","participant_id"
4.56121639999992,3,"9",3,"tactile","success",1494
3.73144700000012,2,"6",3,"tactile","success",1494
3.88868709999997,2,"4",3,"auditory","success",1494
5.2240647000001,3,"3",3,"auditory","success",1494
3.89659869999991,2,"6",3,"auditory","success",1494
4.52290730000004,3,"9",3,"auditory","success",1494
4.3771306000001,2,"2",3,"auditory","success",1494
5.9597495999999,4,"1",3,"auditory","success",1494
5.34185619999994,4,"7",3,"auditory","success",1494
3.2179063000001,2,"8",3,"auditory","success",1494
7.02321619999998,2,"8",1,"auditory","exFail",1720
5.14176330000009,3,"9",1,"auditory","success",1720
6.36861299999998,3,"1",1,"auditory","success",1720
5.43135230000007,3,"3",1,"auditory","success",1720
3.27069280000001,2,"4",1,"auditory","success",1720
3.14517939999996,2,"2",1,"auditory","success",1720
3.75324609999996,3,"7",1,"auditory","success",1720
3.20083169999998,2,"6",1,"auditory","success",1720
3.71073409999997,2,"rep_8",1,"auditory","success",1720
3.80084710000006,3,"7",1,"tactile","success",1720
4.48427049999998,3,"9",1,"tactile","success",1720
4.13185620000002,2,"2",1,"tactile","success",1720
3.01270959999999,2,"4",1,"tactile","success",1720
7.87567239999998,4,"6",1,"tactile","success",1720
2.97103549999997,2,"8",1,"tactile","success",1720
5.86697029999993,3,"1",1,"tactile","success",1720
5.84064249999994,3,"3",1,"tactile","success",1720
4.19171579999988,3,"3",2,"auditory","success",1720
2.84897550000005,2,"2",2,"auditory","success",1720
3.46279099999992,3,"9",2,"auditory","success",1720
2.87571479999997,2,"4",2,"auditory","success",1720
2.39068650000013,2,"8",2,"auditory","success",1720
2.47991319999983,2,"6",2,"auditory","success",1720
3.4563748999999,3,"7",2,"auditory","success",1720
3.44925680000006,3,"1",2,"auditory","success",1720
2.7500308000001,2,"2",2,"tactile","success",1720
2.75132730000018,2,"6",2,"tactile","success",1720
4.27580149999994,3,"9",2,"tactile","success",1720
2.99111020000009,2,"4",2,"tactile","success",1720
20,5,"1",2,"tactile","fail",1720
4.29030419999981,2,"8",2,"tactile","exFail",1720
5.02081249999992,3,"3",2,"tactile","success",1720
7.40641830000004,3,"7",2,"tactile","success",1720
2.5713930999998,2,"rep_8",2,"tactile","success",1720
3.42004100000008,3,"7",3,"auditory","success",1720
3.0228439,2,"6",3,"auditory","success",1720
2.40497720000008,2,"2",3,"auditory","success",1720
2.41028370000004,2,"8",3,"auditory","success",1720
3.34794289999991,3,"9",3,"auditory","success",1720
2.85325810000018,2,"4",3,"auditory","success",1720
3.82761920000007,3,"1",3,"auditory","success",1720
3.72035529999994,3,"3",3,"auditory","success",1720
3.97018279999998,3,"9",3,"tactile","success",1720
2.86441119999995,2,"4",3,"tactile","success",1720
3.51150179999991,2,"2",3,"tactile","success",1720
4.46835140000007,3,"3",3,"tactile","success",1720
2.72470090000002,2,"8",3,"tactile","success",1720
2.92741290000004,2,"6",3,"tactile","success",1720
3.19903789999989,3,"7",3,"tactile","success",1720
4.88871199999994,3,"1",3,"tactile","success",1720
10.660093,4,"1",1,"auditory","success",1893
5.62813470000015,2,"2",1,"auditory","success",1893
9.92694030000007,3,"7",1,"auditory","exFail",1893
10.1785503999999,3,"9",1,"auditory","success",1893
5.90589890000001,2,"8",1,"auditory","success",1893
6.02183649999984,2,"4",1,"auditory","success",1893
8.99881460000006,3,"3",1,"auditory","success",1893
5.82221249999998,2,"6",1,"auditory","success",1893
5.81853890000002,3,"rep_7",1,"auditory","success",1893
8.20437530000004,3,"7",1,"tactile","success",1893
5.93023840000001,2,"6",1,"tactile","success",1893
5.44275089999996,2,"8",1,"tactile","success",1893
7.06383720000008,2,"2",1,"tactile","success",1893
4.74275509999984,2,"4",1,"tactile","success",1893
7.1409106000001,3,"9",1,"tactile","success",1893
6.39359249999984,3,"1",1,"tactile","success",1893
6.22210969999992,3,"3",1,"tactile","success",1893
7.51556609999989,4,"7",2,"auditory","success",1893
6.64791849999983,3,"1",2,"auditory","success",1893
7.02881170000001,3,"3",2,"auditory","success",1893
4.50922179999998,2,"4",2,"auditory","success",1893
5.47139250000009,2,"2",2,"auditory","success",1893
4.84732949999989,2,"6",2,"auditory","success",1893
4.16825470000003,2,"8",2,"auditory","success",1893
6.03982780000001,3,"9",2,"auditory","success",1893
5.30730040000003,3,"9",2,"tactile","success",1893
8.08076060000008,3,"3",2,"tactile","success",1893
4.9082343,2,"4",2,"tactile","success",1893
6.16222279999988,3,"1",2,"tactile","success",1893
3.87662829999999,2,"8",2,"tactile","success",1893
4.8502003000001,2,"2",2,"tactile","success",1893
4.334337,2,"6",2,"tactile","success",1893
4.49476729999992,3,"7",2,"tactile","success",1893
5.87473230000001,2,"2",3,"auditory","success",1893
4.9880490999999,2,"4",3,"auditory","success",1893
4.68081470000016,2,"6",3,"auditory","success",1893
6.36077669999986,3,"7",3,"auditory","success",1893
6.58592050000016,3,"9",3,"auditory","success",1893
7.1440305000001,3,"1",3,"auditory","success",1893
4.92350859999988,2,"8",3,"auditory","success",1893
7.14132500000005,3,"3",3,"auditory","success",1893
5.94183190000012,3,"9",3,"tactile","success",1893
4.35517179999988,2,"8",3,"tactile","success",1893
4.82793089999996,3,"7",3,"tactile","success",1893
14.3096107000001,4,"4",3,"tactile","success",1893
4.87356339999997,2,"6",3,"tactile","success",1893
4.89312109999992,2,"2",3,"tactile","success",1893
6.15276270000004,3,"1",3,"tactile","success",1893
6.20117140000002,3,"3",3,"tactile","success",1893
10.1234047999999,2,"4",1,"auditory","success",2441
11.1345669,3,"7",1,"auditory","success",2441
7.59317900000019,2,"6",1,"auditory","success",2441
5.77459490000001,2,"8",1,"auditory","success",2441
10.6554101000002,3,"3",1,"auditory","success",2441
8.92802280000001,3,"1",1,"auditory","success",2441
5.97581790000004,2,"2",1,"auditory","success",2441
7.25718420000021,3,"9",1,"auditory","success",2441
7.27842659999988,2,"4",1,"tactile","success",2441
6.73925089999989,3,"9",1,"tactile","success",2441
8.58129970000005,2,"2",1,"tactile","success",2441
